date,new_confirmed,new_deaths,A_desinfetante_para_as_maos_trend,V_coronavirus_trend,A_isolamento_social_trend,A_mascara_trend,A_medicamento_trend,A_ventilador_medico_trend,A_unidade_de_terapia_intensiva_trend,D_febre_trend,D_tosse_trend,L_anosmia_trend,A_ageusia_trend,D_dispneia_trend,A_quarentena_trend
2020-03-20,1,0,91,80,26,35,100,39,0,33,74,0,0,23,54
2020-03-21,1,0,100,100,32,60,90,55,0,49,51,0,0,42,87
2020-03-22,0,0,37,82,0,45,54,64,0,75,83,54,0,65,100
2020-03-23,6,0,52,76,78,40,79,58,0,48,100,0,0,69,100
2020-03-24,0,0,37,63,28,48,33,42,0,52,62,0,0,32,73
2020-03-25,0,0,25,54,29,19,56,22,0,49,41,45,0,65,53
2020-03-26,2,0,32,48,44,30,63,44,0,32,12,93,0,39,43
2020-03-27,3,0,30,46,27,18,67,59,21,33,48,0,0,45,55
2020-03-28,2,0,25,44,79,16,46,35,25,34,19,50,0,45,68
2020-03-29,6,1,20,49,34,20,39,33,0,52,40,0,0,38,35
2020-03-30,9,0,20,36,38,13,37,19,21,35,41,0,0,53,41
2020-03-31,21,0,18,29,72,24,38,18,38,11,63,0,39,55,35
2020-04-01,19,0,14,31,64,31,37,51,40,28,21,40,0,51,21
2020-04-02,10,0,20,34,41,54,32,20,22,38,28,43,0,41,35
2020-04-03,7,0,18,37,27,49,48,47,21,21,11,44,0,26,26
2020-04-04,8,1,9,61,31,56,42,46,25,34,50,0,0,41,30
2020-04-05,37,0,10,50,67,41,36,33,0,26,40,53,0,57,25
2020-04-06,39,2,5,54,26,49,35,47,42,36,71,83,0,29,27
2020-04-07,58,7,11,46,81,37,25,17,27,36,23,36,0,18,17
2020-04-08,43,1,17,48,25,36,22,31,0,19,35,39,0,33,22
2020-04-09,21,4,22,65,55,30,30,31,22,43,45,44,0,37,30
2020-04-10,51,5,10,52,31,27,65,22,49,33,12,49,49,17,29
2020-04-11,54,3,10,38,0,35,43,39,25,24,50,82,50,18,29
2020-04-12,47,3,9,35,0,28,47,23,0,54,26,76,0,18,20
2020-04-13,33,5,7,49,49,50,49,19,20,54,30,60,0,36,23
2020-04-14,152,2,18,48,50,44,44,37,0,50,30,53,0,43,30
2020-04-15,65,3,12,48,78,58,58,39,0,48,31,61,0,34,20
2020-04-16,102,3,19,45,64,57,69,82,60,16,21,80,0,43,25
2020-04-17,243,4,15,47,25,68,34,100,20,51,51,66,0,19,23
2020-04-18,165,4,12,50,0,63,32,37,23,41,66,70,0,51,23
2020-04-19,115,6,10,52,95,80,31,71,50,54,64,75,0,55,38
2020-04-20,76,6,10,43,100,65,50,28,19,46,50,97,0,52,25
2020-04-21,208,6,14,42,0,60,48,58,31,48,37,81,0,35,29
2020-04-22,153,10,24,29,50,78,52,75,40,43,61,39,0,77,32
2020-04-23,194,12,9,42,0,100,67,38,41,64,26,81,0,53,19
2020-04-24,154,12,16,43,52,85,35,19,41,40,21,40,0,58,28
2020-04-25,118,12,6,46,29,66,63,22,23,77,41,47,0,39,19
2020-04-26,187,13,0,40,46,59,42,0,0,100,68,49,100,47,31
2020-04-27,118,20,5,31,0,74,50,0,61,55,41,40,0,44,13
2020-04-28,276,21,14,27,25,76,47,50,61,55,46,100,41,43,19
2020-04-29,386,18,13,28,0,87,40,45,0,68,52,41,0,44,17
